crate, num_effects, total, loc_lb, loc_ub, macros, loc_lb, loc_ub, conditional_code, loc_lb, loc_ub, skipped_calls, loc_lb, loc_ub, skipped_fn_ptrs, loc_lb, loc_ub, skipped_other, loc_lb, loc_ub, unsafe_trait, loc_lb, loc_ub, unsafe_impl, loc_lb, loc_ub, pub_fns, pub_fns_with_effects, pub_total_effects, audited_fns, audited_loc
gpu-descriptor-types, 0, 3, 89, 89, 1, 11, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
h2, 58, 52, 24641, 24641, 492, 981, 1374, 13, 845, 845, 0, 0, 0, 0, 0, 0, 44, 32, 55, 0, 0, 0, 0, 0, 0, 526, 47, 214, 111, 2260
hashlink, 206, 5, 3402, 3402, 6, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 38, 0, 0, 0, 18, 0, 18, 143, 112, 1593, 192, 1044
headers, 34, 77, 9139, 9139, 175, 563, 684, 45, 1625, 1625, 0, 0, 0, 0, 0, 0, 39, 19, 44, 0, 0, 0, 0, 0, 0, 132, 6, 6, 44, 325
headers-core, 0, 1, 67, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
hermit-abi, 71, 4, 1128, 1128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 71, 71, 71, 267
hexf-parse, 0, 1, 532, 532, 125, 135, 230, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0
http, 43, 21, 13638, 13638, 138, 1806, 1882, 14, 692, 692, 0, 0, 0, 0, 0, 0, 88, 20, 92, 0, 0, 0, 10, 0, 10, 193, 31, 59, 113, 937
http-body, 4, 3, 393, 393, 4, 0, 4, 1, 3, 3, 0, 0, 0, 0, 0, 0, 14, 2, 14, 0, 0, 0, 0, 0, 0, 20, 0, 0, 6, 16
httparse, 123, 7, 3033, 3033, 86, 126, 197, 10, 1203, 1203, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 39, 14, 75, 38, 802
httpdate, 1, 2, 578, 578, 5, 0, 5, 1, 96, 96, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 2
humantime, 0, 4, 1216, 1216, 11, 9, 18, 4, 391, 391, 0, 0, 0, 0, 0, 0, 4, 0, 4, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0
