avg_call_stack, crate, fn_decl, callee, effect, dir, file, line, col
1, libc, libc::unix::linux_like::linux::musl::lfs64::ftello64, ftello, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/linux_like/linux/musl, lfs64.rs, 76, 4
1, libc, libc::unix::linux_like::linux::musl::lfs64::freopen64, freopen, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/linux_like/linux/musl, lfs64.rs, 32, 4
1, libc, libc::unix::solarish::compat::forkpty, close, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/solarish, compat.rs, 148, 4
1, libc, libc::unix::solarish::compat::openpty, UNKNOWN_METHOD::as_ptr, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/solarish, compat.rs, 94, 82
1, libc, libc::unix::linux_like::linux::musl::lfs64::setrlimit64, setrlimit, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/linux_like/linux/musl, lfs64.rs, 215, 4
1, libc, libc::vxworks::mod::posix_memalign, errnoGet, [FFI Call], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/vxworks, mod.rs, 1874, 16
1, libc, libc::unix::linux_like::linux::musl::lfs64::creat64, creat, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/linux_like/linux/musl, lfs64.rs, 3, 4
1, libc, libc::unix::solarish::compat::cfsetspeed, cfsetispeed, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/solarish, compat.rs, 38, 4
1, libc, libc::unix::haiku::native::get_team_info, core::mem::size_of, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/haiku, native.rs, 1311, 31
1, libc, libc::unix::linux_like::linux::musl::lfs64::fstatat64, fstatat, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/linux_like/linux/musl, lfs64.rs, 61, 4
1, libc, libc::unix::linux_like::linux::musl::lfs64::truncate64, truncate, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/linux_like/linux/musl, lfs64.rs, 240, 4
1, libc, libc::unix::haiku::native::get_port_info, core::mem::size_of, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/haiku, native.rs, 1261, 30
1, libc, libc::unix::haiku::native::get_thread_info, core::mem::size_of, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/haiku, native.rs, 1331, 31
1, libc, libc::unix::linux_like::linux::musl::lfs64::mmap64, mmap, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/linux_like/linux/musl, lfs64.rs, 108, 4
1, libc, libc::unix::haiku::native::get_image_info, _get_image_info, [FFI Call], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/haiku, native.rs, 1351, 4
1, libc, libc::unix::solarish::compat::forkpty, close, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/solarish, compat.rs, 141, 8
1, libc, libc::unix::solarish::compat::openpty, bail, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/solarish, compat.rs, 95, 19
